Nome,E-mail / lattes,Primeiro contato,Situação atual,obs
André Luiz Rosa Ribeiro,http://lattes.cnpq.br/6664964925336634,NAN,Não contactado,
Anna Lúcia Côgo,http://lattes.cnpq.br/6664964925336634,NAN,Não contactado,
Carlos Alberto de Oliveira,http://lattes.cnpq.br/1530813948037389,NAN,Não contactado,
Carlos José Ferreira dos Santos, http://lattes.cnpq.br/6642275822601366,NAN,Não contactado,
Djaneide Silva Argolo,http://lattes.cnpq.br/0798371131195094,NAN,Não contactado,
Elvis Pereira Barbosa,http://lattes.cnpq.br/9806422518681233,NAN,Não contactado,
Flávio Gonçalves dos Santos,http://lattes.cnpq.br/2742558750792193,NAN,Não contactado,
Francisco de Assis,http://lattes.cnpq.br/5933988371224727,NAN,Não contactado,
Graciela Rodrigues Gonçalves,http://lattes.cnpq.br/7996716466981940,NAN,Não contactado,
Isabel Maria de Jesus Pacheco,http://lattes.cnpq.br/2549413353941896,NAN,Não contactado,
Janete Ruiz de Macêdo,http://lattes.cnpq.br/3232815548180644,NAN,Não contactado,
Jonas Boamorte dos Santos,http://lattes.cnpq.br/2297815377298541,NAN,Não contactado,
Kátia Vinhático Pontes,http://lattes.cnpq.br/2522323957804356,NAN,Não contactado,
Laila Bricta,http://lattes.cnpq.br/3232151916338195,NAN,Não contactado,
Luiz Henrique dos Santos Blume,http://lattes.cnpq.br/8554550135956564,NAN,Não contactado,
Marcelo da Silva Lins,http://lattes.cnpq.br/3717631450174726,NAN,Não contactado,
Marcelo Henrique Dias,http://lattes.cnpq.br/0138717846176845,NAN,Não contactado,
Maristela Toma,http://lattes.cnpq.br/2683472051742627,NAN,Não contactado,
Robson Norberto Dantas,http://lattes.cnpq.br/0557351219964656,NAN,Não contactado,
Rosana dos Santos Lopes,http://lattes.cnpq.br/7542566428099687,NAN,Não contactado,
Teresinha Marcis,http://lattes.cnpq.br/4706452285913851,NAN,Não contactado,
